iso3,is_africa,year,grade_band,category,income_level,income_level_code,Region_Code,Region,subject,proficiency_rate,n
AFG,FALSE,2022,not in school current year,All,Low income,LIC,UNICEF_SA,South Asia,reading,6.14687948527556,6334
AFG,FALSE,2022,not in school current year,All,Low income,LIC,UNICEF_SA,South Asia,numeracy,8.06763433033157,6329
AFG,FALSE,2022,Primary (1-3),All,Low income,LIC,UNICEF_SA,South Asia,reading,9.53417894906194,2576
AFG,FALSE,2022,Primary (1-3),All,Low income,LIC,UNICEF_SA,South Asia,numeracy,12.5921455751694,2572
AFG,FALSE,2022,Upper Primary (4-6),All,Low income,LIC,UNICEF_SA,South Asia,reading,35.9237241834547,1700
AFG,FALSE,2022,Upper Primary (4-6),All,Low income,LIC,UNICEF_SA,South Asia,numeracy,41.3038250657403,1697
AFG,FALSE,2022,Lower Secondary (7-9),All,Low income,LIC,UNICEF_SA,South Asia,reading,55.4504546443398,421
AFG,FALSE,2022,Lower Secondary (7-9),All,Low income,LIC,UNICEF_SA,South Asia,numeracy,57.742692812334994,418
AFG,FALSE,2022,Other,All,Low income,LIC,UNICEF_SA,South Asia,reading,24.4832707914376,136
AFG,FALSE,2022,Other,All,Low income,LIC,UNICEF_SA,South Asia,numeracy,35.0525563903829,136
AFG,FALSE,2022,not in school current year,Poorest,Low income,LIC,UNICEF_SA,South Asia,reading,2.5746761943477603,2047
AFG,FALSE,2022,not in school current year,Poorest,Low income,LIC,UNICEF_SA,South Asia,numeracy,3.7474495734254902,2047
AFG,FALSE,2022,Primary (1-3),Poorest,Low income,LIC,UNICEF_SA,South Asia,reading,1.9169306424484798,443
AFG,FALSE,2022,Primary (1-3),Poorest,Low income,LIC,UNICEF_SA,South Asia,numeracy,3.9976496522964795,443
AFG,FALSE,2022,Upper Primary (4-6),Poorest,Low income,LIC,UNICEF_SA,South Asia,reading,18.723959850798998,197
AFG,FALSE,2022,Upper Primary (4-6),Poorest,Low income,LIC,UNICEF_SA,South Asia,numeracy,23.1716447289152,197
AFG,FALSE,2022,Lower Secondary (7-9),Poorest,Low income,LIC,UNICEF_SA,South Asia,reading,34.140927731126304,27
AFG,FALSE,2022,Lower Secondary (7-9),Poorest,Low income,LIC,UNICEF_SA,South Asia,numeracy,55.8324457902868,27
AFG,FALSE,2022,Other,Poorest,Low income,LIC,UNICEF_SA,South Asia,reading,2.63828830739315,27
AFG,FALSE,2022,Other,Poorest,Low income,LIC,UNICEF_SA,South Asia,numeracy,9.48011907558485,27
AFG,FALSE,2022,not in school current year,Second,Low income,LIC,UNICEF_SA,South Asia,reading,3.04943168130433,1668
AFG,FALSE,2022,not in school current year,Second,Low income,LIC,UNICEF_SA,South Asia,numeracy,5.37142738733964,1667
AFG,FALSE,2022,Primary (1-3),Second,Low income,LIC,UNICEF_SA,South Asia,reading,4.4140159310243,603
AFG,FALSE,2022,Primary (1-3),Second,Low income,LIC,UNICEF_SA,South Asia,numeracy,7.35757509330413,603
AFG,FALSE,2022,Upper Primary (4-6),Second,Low income,LIC,UNICEF_SA,South Asia,reading,19.4551228111456,296
AFG,FALSE,2022,Upper Primary (4-6),Second,Low income,LIC,UNICEF_SA,South Asia,numeracy,27.680417742404302,296
AFG,FALSE,2022,Lower Secondary (7-9),Second,Low income,LIC,UNICEF_SA,South Asia,reading,38.7272679023391,68
AFG,FALSE,2022,Lower Secondary (7-9),Second,Low income,LIC,UNICEF_SA,South Asia,numeracy,43.8978463875696,68
AFG,FALSE,2022,Other,Second,Low income,LIC,UNICEF_SA,South Asia,reading,15.5119899705537,32
