iso3,category,subject,is_africa,year,grade_band,income_level,income_level_code,Region_Code,Region,proficiency_rate,n,grade_band_numeric,proficiency_loess_span1
AFG,All,numeracy,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,12.5921455751694,2572,1,12.592145575169397
AFG,All,numeracy,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,41.3038250657403,1697,2,41.3038250657403
AFG,All,numeracy,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,57.742692812334994,418,3,57.74269281233501
AFG,All,reading,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,9.53417894906194,2576,1,9.534178949061943
AFG,All,reading,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,35.9237241834547,1700,2,35.9237241834547
AFG,All,reading,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,55.4504546443398,421,3,55.45045464433979
AFG,Female,numeracy,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,10.8446806248475,1133,1,10.844680624847502
AFG,Female,numeracy,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,36.5799615293113,626,2,36.5799615293113
AFG,Female,numeracy,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,57.2291572598049,81,3,57.2291572598049
AFG,Female,reading,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,10.5493298396877,1134,1,10.549329839687696
AFG,Female,reading,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,37.514661313819595,628,2,37.514661313819595
AFG,Female,reading,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,69.290324709101,82,3,69.29032470910097
AFG,Male,numeracy,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,14.0490297900331,1439,1,14.04902979003309
AFG,Male,numeracy,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,44.070384697787304,1071,2,44.070384697787304
AFG,Male,numeracy,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,57.8897959053179,337,3,57.88979590531787
AFG,Male,reading,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,8.68867155445062,1442,1,8.68867155445062
AFG,Male,reading,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,34.9902292357942,1072,2,34.9902292357942
AFG,Male,reading,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,51.4927207944248,339,3,51.492720794424784
AFG,Urban,numeracy,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,17.4715684649931,518,1,17.471568464993105
AFG,Urban,numeracy,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,51.063161890948805,429,2,51.063161890948805
AFG,Urban,numeracy,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,67.0973625337806,109,3,67.0973625337806
AFG,Urban,reading,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,13.8546535687468,520,1,13.854653568746794
AFG,Urban,reading,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,48.9876222681058,432,2,48.9876222681058
AFG,Urban,reading,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,64.106780898777,109,3,64.10678089877698
AFG,Rural,numeracy,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,10.6092422950342,2054,1,10.609242295034193
AFG,Rural,numeracy,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,35.8088674635444,1268,2,35.8088674635444
AFG,Rural,numeracy,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,50.9231207124892,309,3,50.923120712489194
AFG,Rural,reading,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,7.77861835735313,2056,1,7.778618357353126
AFG,Rural,reading,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,28.5282792715862,1268,2,28.5282792715862
AFG,Rural,reading,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,49.1733731949559,312,3,49.17337319495588
AFG,Poorest,numeracy,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,3.9976496522964795,443,1,3.997649652296479
AFG,Poorest,numeracy,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,23.1716447289152,197,2,23.1716447289152
AFG,Poorest,numeracy,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,55.8324457902868,27,3,55.83244579028678
AFG,Poorest,reading,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,1.9169306424484798,443,1,1.9169306424484798
AFG,Poorest,reading,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,18.723959850798998,197,2,18.723959850798998
AFG,Poorest,reading,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,34.140927731126304,27,3,34.140927731126304
AFG,Second,numeracy,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,7.35757509330413,603,1,7.357575093304128
AFG,Second,numeracy,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,27.680417742404302,296,2,27.680417742404302
AFG,Second,numeracy,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,43.8978463875696,68,3,43.8978463875696
AFG,Second,reading,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,4.4140159310243,603,1,4.414015931024299
AFG,Second,reading,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,19.4551228111456,296,2,19.4551228111456
AFG,Second,reading,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,38.7272679023391,68,3,38.72726790233908
AFG,Middle,numeracy,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,8.21702349802277,593,1,8.217023498022769
AFG,Middle,numeracy,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,38.7550488521561,403,2,38.7550488521561
AFG,Middle,numeracy,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,60.5131290941146,103,3,60.51312909411459
AFG,Middle,reading,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,5.9395774426073,595,1,5.939577442607301
AFG,Middle,reading,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,29.6590797707393,403,2,29.6590797707393
AFG,Middle,reading,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,47.89873524784,105,3,47.898735247839994
AFG,Fourth,numeracy,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,13.2145413037603,538,1,13.214541303760294
AFG,Fourth,numeracy,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,39.0097646844553,439,2,39.0097646844553
AFG,Fourth,numeracy,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,55.598277137674,116,3,55.59827713767398
AFG,Fourth,reading,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,11.0075939638716,540,1,11.007593963871596
AFG,Fourth,reading,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,36.532308166081,441,2,36.532308166081
AFG,Fourth,reading,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,56.3493632292394,117,3,56.3493632292394
AFG,Richest,numeracy,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,26.130825385334,395,1,26.130825385334
AFG,Richest,numeracy,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,57.0736817513696,362,2,57.0736817513696
AFG,Richest,numeracy,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,63.0586349572827,104,3,63.05863495728269
AFG,Richest,reading,FALSE,2022,Primary (1-3),Low income,LIC,UNICEF_SA,South Asia,20.795531419824602,395,1,20.795531419824602
AFG,Richest,reading,FALSE,2022,Upper Primary (4-6),Low income,LIC,UNICEF_SA,South Asia,52.4634136972019,363,2,52.4634136972019
AFG,Richest,reading,FALSE,2022,Lower Secondary (7-9),Low income,LIC,UNICEF_SA,South Asia,67.2877441104435,104,3,67.2877441104435
AZE,All,numeracy,FALSE,2023,Primary (1-3),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,58.323915239316804,859,1,58.32391523931679
AZE,All,numeracy,FALSE,2023,Upper Primary (4-6),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,76.7170100871434,1045,2,76.7170100871434
AZE,All,numeracy,FALSE,2023,Lower Secondary (7-9),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,80.7815529436474,787,3,80.7815529436474
AZE,All,reading,FALSE,2023,Primary (1-3),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,55.9583911704163,859,1,55.958391170416306
AZE,All,reading,FALSE,2023,Upper Primary (4-6),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,71.9314617578561,1045,2,71.9314617578561
AZE,All,reading,FALSE,2023,Lower Secondary (7-9),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,73.133258152811,787,3,73.133258152811
AZE,Female,numeracy,FALSE,2023,Primary (1-3),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,56.231710738554995,367,1,56.231710738554995
AZE,Female,numeracy,FALSE,2023,Upper Primary (4-6),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,76.6088941630737,456,2,76.6088941630737
AZE,Female,numeracy,FALSE,2023,Lower Secondary (7-9),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,79.2321802226446,358,3,79.23218022264459
AZE,Female,reading,FALSE,2023,Primary (1-3),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,60.21576126599621,367,1,60.21576126599619
AZE,Female,reading,FALSE,2023,Upper Primary (4-6),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,72.089233593978,456,2,72.089233593978
AZE,Female,reading,FALSE,2023,Lower Secondary (7-9),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,74.59882115186291,358,3,74.5988211518629
AZE,Male,numeracy,FALSE,2023,Primary (1-3),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,60.0190467397131,492,1,60.01904673971306
AZE,Male,numeracy,FALSE,2023,Upper Primary (4-6),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,76.8020210949959,589,2,76.8020210949959
AZE,Male,numeracy,FALSE,2023,Lower Secondary (7-9),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,82.2595029667889,429,3,82.25950296678889
AZE,Male,reading,FALSE,2023,Primary (1-3),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,52.5090141352197,492,1,52.50901413521969
AZE,Male,reading,FALSE,2023,Upper Primary (4-6),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,71.8074065558599,589,2,71.8074065558599
AZE,Male,reading,FALSE,2023,Lower Secondary (7-9),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,71.7352544065192,429,3,71.7352544065192
AZE,Urban,numeracy,FALSE,2023,Primary (1-3),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,67.556663909227,370,1,67.55666390922701
AZE,Urban,numeracy,FALSE,2023,Upper Primary (4-6),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,83.4404063065702,463,2,83.4404063065702
AZE,Urban,numeracy,FALSE,2023,Lower Secondary (7-9),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,85.5569907117787,375,3,85.55699071177868
AZE,Urban,reading,FALSE,2023,Primary (1-3),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,65.7433022378782,370,1,65.74330223787817
AZE,Urban,reading,FALSE,2023,Upper Primary (4-6),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,76.2751623384044,463,2,76.2751623384044
AZE,Urban,reading,FALSE,2023,Lower Secondary (7-9),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,78.4910281173312,375,3,78.4910281173312
AZE,Rural,numeracy,FALSE,2023,Primary (1-3),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,45.3225311789269,489,1,45.322531178926894
AZE,Rural,numeracy,FALSE,2023,Upper Primary (4-6),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,66.0024039918,582,2,66.0024039918
AZE,Rural,numeracy,FALSE,2023,Lower Secondary (7-9),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,72.5674513085671,412,3,72.5674513085671
AZE,Rural,reading,FALSE,2023,Primary (1-3),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,42.179462345088695,489,1,42.179462345088695
AZE,Rural,reading,FALSE,2023,Upper Primary (4-6),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,65.0092100865636,582,2,65.0092100865636
AZE,Rural,reading,FALSE,2023,Lower Secondary (7-9),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,63.917502621529096,412,3,63.91750262152908
AZE,Poorest,numeracy,FALSE,2023,Primary (1-3),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,31.9785557698536,220,1,31.978555769853603
AZE,Poorest,numeracy,FALSE,2023,Upper Primary (4-6),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,54.86210704812849,268,2,54.86210704812849
AZE,Poorest,numeracy,FALSE,2023,Lower Secondary (7-9),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,58.116834202309796,213,3,58.11683420230979
AZE,Poorest,reading,FALSE,2023,Primary (1-3),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,35.9128325115123,220,1,35.91283251151229
AZE,Poorest,reading,FALSE,2023,Upper Primary (4-6),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,56.553638122842095,268,2,56.553638122842095
AZE,Poorest,reading,FALSE,2023,Lower Secondary (7-9),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,64.1041577605206,213,3,64.10415776052058
AZE,Second,numeracy,FALSE,2023,Primary (1-3),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,53.31174272300851,214,1,53.31174272300848
AZE,Second,numeracy,FALSE,2023,Upper Primary (4-6),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,65.8179880876037,288,2,65.8179880876037
AZE,Second,numeracy,FALSE,2023,Lower Secondary (7-9),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,77.68727195345329,191,3,77.68727195345329
AZE,Second,reading,FALSE,2023,Primary (1-3),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,43.4558613421706,214,1,43.45586134217058
AZE,Second,reading,FALSE,2023,Upper Primary (4-6),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,66.4813269508367,288,2,66.4813269508367
AZE,Second,reading,FALSE,2023,Lower Secondary (7-9),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,65.8253342199569,191,3,65.82533421995687
AZE,Middle,numeracy,FALSE,2023,Primary (1-3),Upper middle income,UMC,UNICEF_EECA,Eastern Europe and Central Asia,68.3035250282112,208,1,68.30352502821117
