iso3,category,subject,is_africa,grade_numeric,income_level,income_level_code,Region_Code,Region,n_readskill,n_numbskill,proficiency_rate,n,grade_stage,proficiency_loess_span1
AFG,All,numeracy,FALSE,1,Low income,LIC,UNICEF_SA,South Asia,917,917,2.52671438891313,917,Primary (Grades 1-3),2.6746832245968113
AFG,All,numeracy,FALSE,2,Low income,LIC,UNICEF_SA,South Asia,908,907,13.9137171744658,907,Primary (Grades 1-3),13.126761728309983
AFG,All,numeracy,FALSE,3,Low income,LIC,UNICEF_SA,South Asia,751,748,21.9059450919474,748,Primary (Grades 1-3),23.23930304026574
AFG,All,numeracy,FALSE,4,Low income,LIC,UNICEF_SA,South Asia,669,669,34.1148191279121,669,Upper Primary (Grades 4-6),32.96514230070189
AFG,All,numeracy,FALSE,5,Low income,LIC,UNICEF_SA,South Asia,560,558,38.7537150999546,558,Upper Primary (Grades 4-6),42.5746283828315
AFG,All,numeracy,FALSE,6,Low income,LIC,UNICEF_SA,South Asia,471,470,54.888969984978296,470,Upper Primary (Grades 4-6),51.226044320492946
AFG,All,numeracy,FALSE,7,Low income,LIC,UNICEF_SA,South Asia,314,312,57.5303180517708,312,Lower Secondary (Grades 7-9),56.618097199563024
AFG,All,numeracy,FALSE,8,Low income,LIC,UNICEF_SA,South Asia,42,42,59.9096962714718,42,Lower Secondary (Grades 7-9),59.18519906501996
AFG,All,numeracy,FALSE,9,Low income,LIC,UNICEF_SA,South Asia,65,64,57.8045138818957,64,Lower Secondary (Grades 7-9),58.75235875579958
AFG,All,reading,FALSE,1,Low income,LIC,UNICEF_SA,South Asia,917,917,1.92344665761414,917,Primary (Grades 1-3),1.9962850494817217
AFG,All,reading,FALSE,2,Low income,LIC,UNICEF_SA,South Asia,908,907,11.242040462157,908,Primary (Grades 1-3),9.783868344253914
AFG,All,reading,FALSE,3,Low income,LIC,UNICEF_SA,South Asia,751,748,15.674463757034198,751,Primary (Grades 1-3),18.329600473055883
AFG,All,reading,FALSE,4,Low income,LIC,UNICEF_SA,South Asia,669,669,27.633908036641703,669,Upper Primary (Grades 4-6),27.4831468150144
AFG,All,reading,FALSE,5,Low income,LIC,UNICEF_SA,South Asia,560,558,32.3444681198096,560,Upper Primary (Grades 4-6),37.999785905515346
AFG,All,reading,FALSE,6,Low income,LIC,UNICEF_SA,South Asia,471,470,52.377187511364,471,Upper Primary (Grades 4-6),45.49907128803127
AFG,All,reading,FALSE,7,Low income,LIC,UNICEF_SA,South Asia,314,312,55.6535543704492,314,Lower Secondary (Grades 7-9),50.8528875212158
AFG,All,reading,FALSE,8,Low income,LIC,UNICEF_SA,South Asia,42,42,42.9070156722979,42,Lower Secondary (Grades 7-9),54.61668056900333
AFG,All,reading,FALSE,9,Low income,LIC,UNICEF_SA,South Asia,65,64,61.2736805945797,65,Lower Secondary (Grades 7-9),56.33211467123673
AFG,female,numeracy,FALSE,1,Low income,LIC,UNICEF_SA,South Asia,411,411,1.5862710724652802,411,Primary (Grades 1-3),2.3773291402502656
AFG,female,numeracy,FALSE,2,Low income,LIC,UNICEF_SA,South Asia,404,403,12.4164880605076,403,Primary (Grades 1-3),10.56335297860038
AFG,female,numeracy,FALSE,3,Low income,LIC,UNICEF_SA,South Asia,319,319,18.6590195125896,319,Primary (Grades 1-3),19.3586863116078
AFG,female,numeracy,FALSE,4,Low income,LIC,UNICEF_SA,South Asia,250,250,28.5879305183691,250,Upper Primary (Grades 4-6),28.678688410784257
AFG,female,numeracy,FALSE,5,Low income,LIC,UNICEF_SA,South Asia,220,218,32.339819183602295,218,Upper Primary (Grades 4-6),38.69864735368205
AFG,female,numeracy,FALSE,6,Low income,LIC,UNICEF_SA,South Asia,158,158,58.5308673593526,158,Upper Primary (Grades 4-6),47.230090506426336
AFG,female,numeracy,FALSE,7,Low income,LIC,UNICEF_SA,South Asia,67,66,51.8965545991604,66,Lower Secondary (Grades 7-9),58.1983354216809
AFG,female,numeracy,FALSE,8,Low income,LIC,UNICEF_SA,South Asia,5,5,65.7354507823827,5,Lower Secondary (Grades 7-9),70.77013204709318
AFG,female,numeracy,FALSE,9,Low income,LIC,UNICEF_SA,South Asia,10,10,88.6617048868544,10,Lower Secondary (Grades 7-9),84.93195026926729
AFG,female,reading,FALSE,1,Low income,LIC,UNICEF_SA,South Asia,411,411,1.5504590573074601,411,Primary (Grades 1-3),2.5660950905281013
AFG,female,reading,FALSE,2,Low income,LIC,UNICEF_SA,South Asia,404,403,11.5992038628592,404,Primary (Grades 1-3),9.786501790324703
AFG,female,reading,FALSE,3,Low income,LIC,UNICEF_SA,South Asia,319,319,18.797294311760098,319,Primary (Grades 1-3),18.514005845371763
AFG,female,reading,FALSE,4,Low income,LIC,UNICEF_SA,South Asia,250,250,28.2240226266334,250,Upper Primary (Grades 4-6),28.72863859373774
AFG,female,reading,FALSE,5,Low income,LIC,UNICEF_SA,South Asia,220,218,33.9619123988234,220,Upper Primary (Grades 4-6),40.630193557921125
AFG,female,reading,FALSE,6,Low income,LIC,UNICEF_SA,South Asia,158,158,60.5276383379604,158,Upper Primary (Grades 4-6),52.79701450402571
AFG,female,reading,FALSE,7,Low income,LIC,UNICEF_SA,South Asia,67,66,66.8710015349491,67,Lower Secondary (Grades 7-9),63.7020204153844
AFG,female,reading,FALSE,8,Low income,LIC,UNICEF_SA,South Asia,5,5,67.6623245745366,5,Lower Secondary (Grades 7-9),73.95169319203654
AFG,female,reading,FALSE,9,Low income,LIC,UNICEF_SA,South Asia,10,10,85.2978117891004,10,Lower Secondary (Grades 7-9),83.12317152515513
AFG,fourth,numeracy,FALSE,1,Low income,LIC,UNICEF_SA,South Asia,182,182,2.40777938609486,182,Primary (Grades 1-3),5.681835837746895
AFG,fourth,numeracy,FALSE,2,Low income,LIC,UNICEF_SA,South Asia,193,192,22.4721784157724,192,Primary (Grades 1-3),13.489279238848802
